date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2025-01-02,1.124,1.096,1.126,1.089,302818,35170577.0,3.3,-2.32,-0.026,0.39
2025-01-03,1.097,1.08,1.101,1.08,330823,37827168.0,1.92,-1.46,-0.016,0.42
2025-01-06,1.082,1.083,1.085,1.07,175790,19914107.0,1.39,0.28,0.003,0.22
2025-01-07,1.084,1.087,1.087,1.074,138411,15713799.0,1.2,0.37,0.004,0.18
2025-01-08,1.085,1.091,1.094,1.078,191865,21936061.0,1.47,0.37,0.004,0.25
2025-01-09,1.089,1.081,1.089,1.077,147087,16708592.0,1.1,-0.92,-0.01,0.19
2025-01-10,1.08,1.067,1.081,1.064,282497,31756213.0,1.57,-1.3,-0.014,0.36
2025-01-13,1.063,1.054,1.064,1.047,204245,22677439.0,1.59,-1.22,-0.013,0.26
2025-01-14,1.055,1.07,1.071,1.054,148167,16571477.0,1.61,1.52,0.016,0.19
2025-01-15,1.071,1.072,1.083,1.068,262343,29598960.0,1.4,0.19,0.002,0.34
2025-01-16,1.075,1.082,1.083,1.074,183926,20866311.0,0.84,0.93,0.01,0.24
2025-01-17,1.079,1.082,1.086,1.076,170286,19330470.0,0.92,0.0,0.0,0.22
2025-01-20,1.083,1.083,1.088,1.081,247613,28225350.0,0.65,0.09,0.001,0.32
2025-01-21,1.088,1.075,1.088,1.07,234863,26505702.0,1.66,-0.74,-0.008,0.3
2025-01-22,1.071,1.058,1.071,1.054,212927,23736587.0,1.58,-1.58,-0.017,0.27
2025-01-23,1.066,1.074,1.077,1.065,159938,18037839.0,1.13,1.51,0.016,0.2
2025-01-24,1.073,1.079,1.083,1.066,226548,25633900.0,1.58,0.47,0.005,0.29
2025-01-27,1.081,1.095,1.097,1.08,168803,19361960.0,1.58,1.48,0.016,0.22
2025-02-05,1.104,1.074,1.104,1.072,294533,33453009.0,2.92,-1.92,-0.021,0.38
2025-02-06,1.075,1.075,1.079,1.067,193822,21829365.0,1.12,0.09,0.001,0.25
2025-02-07,1.075,1.075,1.079,1.069,346007,39055049.0,0.93,0.0,0.0,0.44
2025-02-10,1.074,1.077,1.078,1.072,143400,16204163.0,0.56,0.19,0.002,0.18
2025-02-11,1.074,1.085,1.085,1.073,343424,39073845.0,1.11,0.74,0.008,0.44
2025-02-12,1.084,1.089,1.089,1.081,288210,32831482.0,0.74,0.37,0.004,0.37
2025-02-13,1.089,1.091,1.094,1.086,498600,57119704.0,0.73,0.18,0.002,0.64
2025-02-14,1.091,1.092,1.092,1.083,276817,31593246.0,0.82,0.09,0.001,0.35
2025-02-17,1.093,1.089,1.093,1.083,219172,25023794.0,0.92,-0.27,-0.003,0.28
2025-02-18,1.089,1.09,1.099,1.087,370965,42559903.0,1.1,0.09,0.001,0.47
2025-02-19,1.089,1.09,1.091,1.087,164188,18773910.0,0.37,0.0,0.0,0.21
2025-02-20,1.09,1.088,1.09,1.085,328958,37571663.0,0.46,-0.18,-0.002,0.42
2025-02-21,1.087,1.08,1.089,1.076,400880,45502877.0,1.19,-0.74,-0.008,0.51
2025-02-24,1.081,1.079,1.082,1.075,214931,24356208.0,0.65,-0.09,-0.001,0.27
2025-02-25,1.077,1.068,1.077,1.065,355865,40066158.0,1.11,-1.02,-0.011,0.46
2025-02-26,1.07,1.076,1.078,1.07,133094,15028332.0,0.75,0.75,0.008,0.17
2025-02-27,1.076,1.084,1.085,1.072,181291,20554311.0,1.21,0.74,0.008,0.23
2025-02-28,1.083,1.081,1.087,1.08,176495,20092733.0,0.65,-0.28,-0.003,0.23
2025-03-03,1.082,1.081,1.084,1.077,114200,12964526.0,0.65,0.0,0.0,0.15
2025-03-04,1.077,1.083,1.083,1.076,75669,8581439.0,0.65,0.19,0.002,0.1
2025-03-05,1.081,1.089,1.089,1.077,259866,29616572.0,1.11,0.55,0.006,0.33
2025-03-06,1.091,1.086,1.091,1.081,164061,18687568.0,0.92,-0.28,-0.003,0.21
2025-03-07,1.086,1.084,1.087,1.081,170061,19358846.0,0.55,-0.18,-0.002,0.22
2025-03-10,1.084,1.076,1.084,1.074,481246,54448943.0,0.92,-0.74,-0.008,0.62
2025-03-11,1.075,1.082,1.082,1.073,323946,36698804.0,0.84,0.56,0.006,0.41
2025-03-12,1.084,1.083,1.085,1.081,149612,16896366.0,0.37,0.09,0.001,0.19
2025-03-13,1.085,1.088,1.091,1.082,157868,17887059.0,0.83,0.46,0.005,0.2
2025-03-14,1.088,1.098,1.099,1.088,237237,27082122.0,1.01,0.92,0.01,0.3
2025-03-17,1.097,1.102,1.103,1.096,182862,20969901.0,0.64,0.36,0.004,0.23
2025-03-18,1.104,1.101,1.104,1.097,261222,29947119.0,0.64,-0.09,-0.001,0.33
2025-03-19,1.101,1.107,1.108,1.098,146956,16883194.0,0.91,0.54,0.006,0.19
2025-03-20,1.108,1.104,1.111,1.103,151995,17501130.0,0.72,-0.27,-0.003,0.19
2025-03-21,1.104,1.1,1.111,1.096,225351,25926482.0,1.36,-0.36,-0.004,0.29
2025-03-24,1.101,1.106,1.107,1.1,161767,18601630.0,0.64,0.55,0.006,0.21
2025-03-25,1.106,1.113,1.115,1.106,288635,33410237.0,0.81,0.63,0.007,0.37
2025-03-26,1.113,1.113,1.114,1.109,132986,15394290.0,0.45,0.0,0.0,0.17
2025-03-27,1.113,1.115,1.117,1.11,159396,18498710.0,0.63,0.18,0.002,0.2
2025-03-28,1.116,1.112,1.116,1.107,170335,19690218.0,0.81,-0.27,-0.003,0.22
2025-03-31,1.112,1.112,1.12,1.108,290778,33682586.0,1.08,0.0,0.0,0.37
2025-04-01,1.11,1.114,1.115,1.108,138690,16055525.0,0.63,0.18,0.002,0.18
2025-04-02,1.114,1.121,1.124,1.114,203825,23785217.0,0.9,0.63,0.007,0.26
2025-04-03,1.117,1.125,1.126,1.115,158162,18458714.0,0.98,0.36,0.004,0.2
2025-04-07,1.104,1.07,1.111,1.039,848971,94971015.0,6.4,-4.89,-0.055,1.09
2025-04-08,1.07,1.086,1.086,1.066,470375,52746269.0,1.87,1.5,0.016,0.6
2025-04-09,1.077,1.081,1.083,1.062,420907,47061802.0,1.93,-0.46,-0.005,0.54
2025-04-10,1.085,1.089,1.093,1.081,485959,55114118.0,1.11,0.74,0.008,0.62
2025-04-11,1.087,1.086,1.088,1.081,216055,24413345.0,0.64,-0.28,-0.003,0.28
2025-04-14,1.089,1.092,1.096,1.085,266951,30395695.0,1.01,0.55,0.006,0.34
2025-04-15,1.093,1.106,1.106,1.092,157030,17988852.0,1.28,1.28,0.014,0.2
2025-04-16,1.105,1.115,1.115,1.103,239449,27623481.0,1.08,0.81,0.009,0.31
2025-04-17,1.109,1.117,1.118,1.108,176565,20480869.0,0.9,0.18,0.002,0.23
2025-04-18,1.116,1.12,1.122,1.113,128161,14926898.0,0.81,0.27,0.003,0.16
2025-04-21,1.12,1.115,1.127,1.114,240760,28064560.0,1.16,-0.45,-0.005,0.31
2025-04-22,1.113,1.121,1.122,1.111,122495,14265734.0,0.99,0.54,0.006,0.16
2025-04-23,1.121,1.116,1.121,1.113,174989,20338182.0,0.71,-0.45,-0.005,0.22
2025-04-24,1.116,1.126,1.128,1.116,207008,24217875.0,1.08,0.9,0.01,0.26
2025-04-25,1.125,1.126,1.129,1.122,189846,22231133.0,0.62,0.0,0.0,0.24
2025-04-28,1.124,1.131,1.133,1.123,219648,25784014.0,0.89,0.44,0.005,0.28
2025-04-29,1.129,1.131,1.134,1.127,125514,14756667.0,0.62,0.0,0.0,0.16
2025-04-30,1.129,1.109,1.129,1.107,579318,67038774.0,1.95,-1.95,-0.022,0.74
2025-05-06,1.109,1.108,1.112,1.103,411872,47463289.0,0.81,-0.09,-0.001,0.53
2025-05-07,1.109,1.118,1.118,1.109,281866,32704570.0,0.81,0.9,0.01,0.36
2025-05-08,1.118,1.128,1.128,1.114,385208,45071168.0,1.25,0.89,0.01,0.49
2025-05-09,1.127,1.134,1.135,1.125,350959,41345491.0,0.89,0.53,0.006,0.45
2025-05-12,1.134,1.135,1.139,1.129,303405,35822963.0,0.88,0.09,0.001,0.39
2025-05-13,1.137,1.146,1.146,1.134,227536,27025138.0,1.06,0.97,0.011,0.29
2025-05-14,1.146,1.153,1.155,1.141,242924,29001305.0,1.22,0.61,0.007,0.31
2025-05-15,1.152,1.149,1.157,1.149,327051,39232119.0,0.69,-0.35,-0.004,0.42
2025-05-16,1.148,1.142,1.15,1.135,297271,35275167.0,1.31,-0.61,-0.007,0.38
2025-05-19,1.142,1.144,1.148,1.14,217817,25948992.0,0.7,0.18,0.002,0.28
2025-05-20,1.145,1.147,1.152,1.144,333206,39757442.0,0.7,0.26,0.003,0.43
2025-05-21,1.149,1.156,1.158,1.148,219233,26311271.0,0.87,0.78,0.009,0.28
2025-05-22,1.157,1.16,1.162,1.152,270045,32525576.0,0.87,0.35,0.004,0.35
2025-05-23,1.161,1.154,1.168,1.152,263404,31777248.0,1.38,-0.52,-0.006,0.34
2025-05-26,1.155,1.148,1.156,1.145,424187,50740147.0,0.95,-0.52,-0.006,0.54
2025-05-27,1.15,1.151,1.154,1.147,258386,30928443.0,0.61,0.26,0.003,0.33
2025-05-28,1.152,1.156,1.157,1.148,214700,25743348.0,0.78,0.43,0.005,0.27
2025-05-29,1.154,1.157,1.158,1.152,260701,31315006.0,0.52,0.09,0.001,0.33
2025-05-30,1.156,1.163,1.163,1.155,216863,26144011.0,0.69,0.52,0.006,0.28
2025-06-03,1.161,1.172,1.174,1.157,335800,40773158.0,1.46,0.77,0.009,0.43
2025-06-04,1.172,1.178,1.178,1.169,180267,21998259.0,0.77,0.51,0.006,0.23
2025-06-05,1.179,1.169,1.18,1.167,468015,56967447.0,1.1,-0.76,-0.009,0.6
2025-06-06,1.167,1.171,1.174,1.167,330854,40273482.0,0.6,0.17,0.002,0.42
2025-06-09,1.172,1.172,1.173,1.164,306326,37192278.0,0.77,0.09,0.001,0.39
2025-06-10,1.172,1.173,1.182,1.167,493112,60234919.0,1.28,0.09,0.001,0.63
2025-06-11,1.171,1.177,1.178,1.171,313652,38304005.0,0.6,0.34,0.004,0.4
2025-06-12,1.179,1.18,1.182,1.173,531120,64454109.0,0.76,0.25,0.003,0.68
2025-06-13,1.18,1.173,1.182,1.17,523029,63321683.0,1.02,-0.59,-0.007,0.67
2025-06-16,1.171,1.178,1.178,1.168,315074,38078105.0,0.85,0.43,0.005,0.4
2025-06-17,1.178,1.175,1.181,1.173,351446,42626582.0,0.68,-0.25,-0.003,0.45
2025-06-18,1.175,1.181,1.182,1.171,465230,56426084.0,0.94,0.51,0.006,0.59
2025-06-19,1.181,1.178,1.182,1.175,322691,39189963.0,0.59,-0.25,-0.003,0.41
