code,ex_date,amount_per_share
159581,2025-01-15,0.006
159581,2025-02-19,0.002
159581,2025-03-12,0.002
159581,2025-04-15,0.003
159581,2025-05-13,0.003
159581,2025-06-10,0.003
159581,2025-07-15,0.003
159581,2025-08-12,0.003
159581,2025-09-09,0.003
159581,2025-10-21,0.003
159581,2025-11-18,0.003
159581,2025-12-09,0.003
159581,2026-01-20,0.003
159581,2026-02-10,0.003
159581,2026-03-10,0.003
159581,2026-04-14,0.003
561580,2025-05-19,0.005
561580,2025-06-16,0.005
561580,2025-07-14,0.005
561580,2025-08-18,0.02
561580,2025-09-15,0.02
561580,2025-10-20,0.02
561580,2025-11-17,0.01
561580,2025-12-15,0.01
561580,2026-01-21,0.01
561580,2026-02-26,0.01
561580,2026-03-23,0.005
561580,2026-04-20,0.005
563020,2025-03-12,0.009
563020,2025-06-12,0.01
563020,2025-09-10,0.012
563020,2025-12-10,0.012
563020,2026-03-11,0.012
